Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Polska,1,148,0.68%,28.79
Wielka Brytania,1,7,14.29%,6.29
Stany Zjednoczone,0,18,0%,5.83
Brazylia,0,4,0%,6.75
Niemcy,0,4,0%,9
Korea Południowa,0,3,0%,6
Rosja,0,3,0%,6.33
Nowa Zelandia,0,3,0%,6.67
Austria,0,3,0%,9.67
Argentyna,0,2,0%,8
Irlandia,0,2,0%,8
Boliwia,0,1,0%,4
Hiszpania,0,1,0%,4
Chile,0,1,0%,5
Jordania,0,1,0%,5
Bangladesz,0,1,0%,6
Egipt,0,1,0%,6
Maroko,0,1,0%,6
Oman,0,1,0%,6
Wietnam,0,1,0%,6
Ekwador,0,1,0%,7
Peru,0,1,0%,7
Dania,0,1,0%,8
Holandia,0,1,0%,8
Turcja,0,1,0%,9
Australia,0,1,0%,11
Belgia,0,1,0%,11
Norwegia,0,1,0%,11
