Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-04-24,0,14,0%,8.1
2026-04-25,0,8,0%,14.5
2026-04-26,0,18,0%,42.4
2026-04-27,0,10,0%,29.2
2026-04-28,1,18,5.56%,14
2026-04-29,0,13,0%,11.9
2026-04-30,0,6,0%,40.7
2026-05-01,0,11,0%,7.5
2026-05-02,1,23,4.35%,6.6
2026-05-03,0,3,0%,36.3
2026-05-04,0,8,0%,19.2
2026-05-05,0,10,0%,22.6
2026-05-06,0,12,0%,33.8
2026-05-07,0,8,0%,31.5
2026-05-08,0,7,0%,12
2026-05-09,0,6,0%,55.5
2026-05-10,0,5,0%,27.6
2026-05-11,0,4,0%,64.2
2026-05-12,0,5,0%,4.4
2026-05-13,0,0,,
2026-05-14,0,7,0%,12.3
2026-05-15,0,5,0%,20.2
2026-05-16,0,5,0%,41.6
2026-05-17,0,4,0%,10
2026-05-18,0,4,0%,31.5
